                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.059,                 3.7938,                 4.2154,                0.00424,                0.75014,                0.00923,                0.00377,                 2.6491,                 3.6709,                 4.1447,             0.00036674,             0.00036674,             0.00036674
                      2,                 3.0222,                  3.742,                 4.1293,                0.00415,                0.74493,                 0.0151,                0.00558,                 2.6588,                 3.6705,                  4.064,             0.00074272,             0.00074272,             0.00074272
                      3,                 2.9633,                 3.6681,                 3.9978,                0.50808,                0.42188,                0.02419,                 0.0068,                 2.7431,                 7.0228,                 4.2479,              0.0011111,              0.0011111,              0.0011111
                      4,                 2.9502,                 3.6226,                 3.8064,                0.52538,                0.08854,                0.02286,                0.00594,                  2.938,                 13.154,                 4.7947,              0.0014719,              0.0014719,              0.0014719
                      5,                 2.8684,                 3.5689,                 3.6043,                0.51654,                0.16667,                0.01876,                0.00518,                 2.9101,                 14.634,                 5.0055,               0.001601,               0.001601,               0.001601
                      6,                 2.7556,                 3.5456,                 3.4267,                 0.5312,                0.14062,                0.03424,                0.00956,                 2.7276,                 9.5684,                 3.9286,               0.001601,               0.001601,               0.001601
                      7,                 2.6116,                 3.4652,                 3.2942,                0.54289,                 0.1875,                0.04446,                0.01287,                 2.5295,                 6.1576,                 3.7255,              0.0015845,              0.0015845,              0.0015845
                      8,                 2.5431,                 3.4327,                 3.1855,                0.52023,                0.08073,                0.02334,                0.00631,                 2.5216,                 4.9281,                 3.5064,               0.001568,               0.001568,               0.001568
                      9,                 2.4669,                 3.4167,                 3.1194,                0.56995,                0.13021,                0.06007,                0.01551,                 2.4868,                 4.6034,                 3.3769,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.4301,                 3.3701,                 3.0646,                0.55602,                0.11458,                0.05056,                 0.0143,                 2.3688,                 4.2834,                  3.198,               0.001535,               0.001535,               0.001535
                     11,                 2.3549,                 3.3046,                 2.9901,                0.03746,                0.43907,                0.06383,                 0.0222,                 2.2984,                 4.1236,                 3.1684,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.2887,                 3.2765,                 2.9487,                0.04857,                0.33594,                0.07481,                0.02649,                 2.2841,                 3.6396,                 3.1195,               0.001502,               0.001502,               0.001502
                     13,                 2.3009,                 3.2033,                 2.9133,                0.05233,                0.30729,                 0.0941,                0.03781,                 2.2414,                 3.1255,                 3.1444,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.2764,                 3.1169,                 2.8478,                0.09666,                0.42718,                0.09661,                0.02785,                  2.359,                 3.2553,                 3.2811,               0.001469,               0.001469,               0.001469
                     15,                 2.2359,                 3.0742,                 2.8089,                0.56688,                0.28385,                0.12253,                0.04076,                    2.2,                 3.1515,                 3.0594,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.1238,                 2.9381,                 2.7088,                0.14314,                0.34678,                0.12435,                0.04661,                 2.1475,                 2.9031,                 2.9874,               0.001436,               0.001436,               0.001436
                     17,                 2.0992,                 2.8551,                 2.6745,                0.61676,                0.26562,                0.15526,                 0.0528,                 2.0685,                 3.0932,                 2.9394,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.0885,                 2.8395,                 2.6765,                0.21148,                0.40378,                0.13104,                0.04223,                 2.1134,                 3.0167,                 2.9601,              0.0014029,              0.0014029,              0.0014029
                     19,                 2.0687,                 2.7821,                 2.6302,                0.59799,                0.27344,                0.14367,                0.05185,                 2.1068,                 2.9338,                 2.8983,              0.0013864,              0.0013864,              0.0013864
                     20,                 2.0043,                 2.7544,                 2.5531,                0.13002,                0.41461,                0.10711,                0.03901,                 2.0044,                 2.9422,                 2.7546,              0.0013699,              0.0013699,              0.0013699
                     21,                   1.93,                 2.7097,                  2.514,                0.16653,                0.44455,                0.13986,                0.05106,                 2.0014,                 2.8252,                 2.8005,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.9388,                 2.6231,                 2.4642,                0.16784,                0.42258,                0.19141,                0.06899,                  2.064,                 2.8254,                 2.8099,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.8923,                 2.5867,                 2.4638,                0.65708,                0.26302,                0.22192,                0.10061,                 1.9891,                 2.6928,                 2.7516,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.8663,                 2.5559,                 2.4203,                0.66598,                0.26302,                0.19313,                0.07476,                 2.0363,                 2.7322,                 2.7637,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.8659,                 2.5195,                 2.4054,                0.35438,                0.25663,                0.22637,                0.09352,                 1.8747,                 2.8469,                 2.5931,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.8168,                 2.4461,                 2.3493,                0.51613,                0.31734,                0.26622,                0.11265,                 1.8625,                 2.6511,                 2.6077,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.8353,                 2.3874,                 2.3497,                0.28663,                0.41375,                0.23774,                0.09019,                 1.9174,                 2.4497,                 2.6585,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.8191,                 2.3819,                 2.3654,                0.33552,                0.40775,                0.25782,                0.11354,                 1.7969,                 2.5501,                 2.5099,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.7268,                  2.311,                 2.2726,                0.70439,                0.27083,                0.24961,                0.12037,                 1.8429,                 2.5595,                 2.6216,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.7512,                 2.3604,                 2.2753,                0.71664,                0.28906,                0.28806,                0.13345,                 1.9018,                 2.5589,                 2.7353,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.6985,                 2.2995,                 2.2551,                0.76248,                0.28125,                0.34024,                0.16303,                 1.8442,                 2.3608,                 2.5356,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.6995,                 2.2649,                 2.2259,                0.44398,                0.29642,                0.35131,                0.17353,                 1.6974,                 2.3609,                 2.4434,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.6801,                  2.256,                 2.2138,                0.32143,                0.47666,                0.39028,                0.19512,                  1.684,                 2.2155,                  2.416,              0.0011554,              0.0011554,              0.0011554
